Loading cs402-mpi
  Loading requirement: gcc9
32 t:0.340734, del_t:0.0103234, SOR iters:100, res:7.951186e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
33 t:0.351057, del_t:0.0103233, SOR iters:100, res:8.076109e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
33 t:0.351057, del_t:0.0103233, SOR iters:100, res:8.076109e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
33 t:0.351057, del_t:0.0103233, SOR iters:100, res:8.076109e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
33 t:0.351057, del_t:0.0103233, SOR iters:100, res:8.076109e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
34 t:0.361381, del_t:0.0103232, SOR iters:100, res:8.143457e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
34 t:0.361381, del_t:0.0103232, SOR iters:100, res:8.143457e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
34 t:0.361381, del_t:0.0103232, SOR iters:100, res:8.143457e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
34 t:0.361381, del_t:0.0103232, SOR iters:100, res:8.143457e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
35 t:0.371704, del_t:0.0103232, SOR iters:100, res:8.154994e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
35 t:0.371704, del_t:0.0103232, SOR iters:100, res:8.154994e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
35 t:0.371704, del_t:0.0103232, SOR iters:100, res:8.154994e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
35 t:0.371704, del_t:0.0103232, SOR iters:100, res:8.154994e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
36 t:0.382027, del_t:0.0103231, SOR iters:100, res:8.109181e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
36 t:0.382027, del_t:0.0103231, SOR iters:100, res:8.109181e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
36 t:0.382027, del_t:0.0103231, SOR iters:100, res:8.109181e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
36 t:0.382027, del_t:0.0103231, SOR iters:100, res:8.109181e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
37 t:0.39235, del_t:0.010323, SOR iters:100, res:8.006924e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
37 t:0.39235, del_t:0.010323, SOR iters:100, res:8.006924e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
37 t:0.39235, del_t:0.010323, SOR iters:100, res:8.006924e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
37 t:0.39235, del_t:0.010323, SOR iters:100, res:8.006924e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
38 t:0.402673, del_t:0.0103229, SOR iters:100, res:7.849108e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
38 t:0.402673, del_t:0.0103229, SOR iters:100, res:7.849108e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
38 t:0.402673, del_t:0.0103229, SOR iters:100, res:7.849108e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
38 t:0.402673, del_t:0.0103229, SOR iters:100, res:7.849108e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
39 t:0.412995, del_t:0.0103227, SOR iters:100, res:7.637250e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
39 t:0.412995, del_t:0.0103227, SOR iters:100, res:7.637250e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
39 t:0.412995, del_t:0.0103227, SOR iters:100, res:7.637250e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
39 t:0.412995, del_t:0.0103227, SOR iters:100, res:7.637250e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
40 t:0.423318, del_t:0.0103224, SOR iters:100, res:7.372448e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
40 t:0.423318, del_t:0.0103224, SOR iters:100, res:7.372448e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
40 t:0.423318, del_t:0.0103224, SOR iters:100, res:7.372448e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
40 t:0.423318, del_t:0.0103224, SOR iters:100, res:7.372448e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
41 t:0.43364, del_t:0.0103222, SOR iters:100, res:7.058945e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
41 t:0.43364, del_t:0.0103222, SOR iters:100, res:7.058945e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
41 t:0.43364, del_t:0.0103222, SOR iters:100, res:7.058945e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
41 t:0.43364, del_t:0.0103222, SOR iters:100, res:7.058945e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
42 t:0.443962, del_t:0.0103219, SOR iters:100, res:6.699233e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
42 t:0.443962, del_t:0.0103219, SOR iters:100, res:6.699233e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
42 t:0.443962, del_t:0.0103219, SOR iters:100, res:6.699233e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
42 t:0.443962, del_t:0.0103219, SOR iters:100, res:6.699233e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
43 t:0.454284, del_t:0.0103217, SOR iters:100, res:6.294781e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
43 t:0.454284, del_t:0.0103217, SOR iters:100, res:6.294781e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
43 t:0.454284, del_t:0.0103217, SOR iters:100, res:6.294781e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
43 t:0.454284, del_t:0.0103217, SOR iters:100, res:6.294781e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
44 t:0.464605, del_t:0.0103214, SOR iters:100, res:5.850460e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
44 t:0.464605, del_t:0.0103214, SOR iters:100, res:5.850460e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
44 t:0.464605, del_t:0.0103214, SOR iters:100, res:5.850460e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
44 t:0.464605, del_t:0.0103214, SOR iters:100, res:5.850460e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
45 t:0.474926, del_t:0.0103211, SOR iters:100, res:5.369897e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
45 t:0.474926, del_t:0.0103211, SOR iters:100, res:5.369897e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
45 t:0.474926, del_t:0.0103211, SOR iters:100, res:5.369897e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
45 t:0.474926, del_t:0.0103211, SOR iters:100, res:5.369897e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
46 t:0.485247, del_t:0.0103208, SOR iters:100, res:4.859078e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
46 t:0.485247, del_t:0.0103208, SOR iters:100, res:4.859078e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
46 t:0.485247, del_t:0.0103208, SOR iters:100, res:4.859078e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
46 t:0.485247, del_t:0.0103208, SOR iters:100, res:4.859078e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
47 t:0.495567, del_t:0.0103205, SOR iters:100, res:4.324785e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
47 t:0.495567, del_t:0.0103205, SOR iters:100, res:4.324785e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
47 t:0.495567, del_t:0.0103205, SOR iters:100, res:4.324785e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
47 t:0.495567, del_t:0.0103205, SOR iters:100, res:4.324785e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
48 t:0.505888, del_t:0.0103202, SOR iters:100, res:3.772155e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
48 t:0.505888, del_t:0.0103202, SOR iters:100, res:3.772155e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
48 t:0.505888, del_t:0.0103202, SOR iters:100, res:3.772155e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
48 t:0.505888, del_t:0.0103202, SOR iters:100, res:3.772155e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
49 t:0.516208, del_t:0.0103199, SOR iters:100, res:3.214463e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
49 t:0.516208, del_t:0.0103199, SOR iters:100, res:3.214463e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
49 t:0.516208, del_t:0.0103199, SOR iters:100, res:3.214463e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
49 t:0.516208, del_t:0.0103199, SOR iters:100, res:3.214463e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
50 t:0.526527, del_t:0.0103197, SOR iters:100, res:2.667049e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
50 t:0.526527, del_t:0.0103197, SOR iters:100, res:2.667049e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
50 t:0.526527, del_t:0.0103197, SOR iters:100, res:2.667049e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
50 t:0.526527, del_t:0.0103197, SOR iters:100, res:2.667049e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
51 t:0.536847, del_t:0.0103194, SOR iters:100, res:2.156495e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
51 t:0.536847, del_t:0.0103194, SOR iters:100, res:2.156495e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
51 t:0.536847, del_t:0.0103194, SOR iters:100, res:2.156495e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
51 t:0.536847, del_t:0.0103194, SOR iters:100, res:2.156495e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
52 t:0.547166, del_t:0.0103192, SOR iters:100, res:1.736121e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
52 t:0.547166, del_t:0.0103192, SOR iters:100, res:1.736121e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
52 t:0.547166, del_t:0.0103192, SOR iters:100, res:1.736121e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
52 t:0.547166, del_t:0.0103192, SOR iters:100, res:1.736121e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
53 t:0.557485, del_t:0.010319, SOR iters:100, res:1.498373e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
